timestep,value
336,87.9576587312518
337,86.39346500566586
338,84.39486881425961
339,76.71991535356625
340,71.35541721513852
341,59.98366733720883
342,56.15026088884457
343,49.63747211626156
344,46.20208736589535
345,43.481609308034024
346,40.03017326524838
347,38.716628991871914
348,35.71359153917416
349,32.005147420674405
350,31.000018083363614
351,33.25171562364682
352,35.104446374684414
353,39.43111892870053
354,48.26942821672543
355,53.2557487123309
356,62.699926339894375
357,65.9421558015643
358,68.54643436601742
359,73.96692463091
360,73.41327854326352
361,76.00050159624203
362,73.6166057222186
363,68.22463413408383
364,61.947294198781094
365,55.25702663591488
366,46.92061802080258
367,43.301467859059414
368,38.15283294847592
369,33.161362611561856
370,31.691328489094815
371,31.85325905016049
372,29.105499231129727
373,26.97626348665341
374,28.6436242692767
375,28.710017644673428
376,28.48296638658627
377,34.23841663530453
378,40.14848896196469
379,49.06021495988949
380,54.526233636647305
381,59.300661050587735
382,61.40145298174008
383,67.1661319368182
384,67.51338382890805
385,68.72391315630063
386,66.50174137285336
387,60.64395328691586
388,54.507190667897305
389,47.214017831593594
390,41.94839092424496
391,36.816201173573575
392,33.59976383379086
393,30.251001798420987
394,29.50415083101376
395,28.10968085458859
396,27.801141464024624
397,26.074996196538052
398,26.26680334737881
399,25.529892884999356
400,27.073395692616543
401,31.98408361604794
402,38.69878193071469
403,44.961563073903164
404,52.35041614702328
405,56.33816906145199
406,58.2551326387225
407,62.608774148732266
408,65.3568057649432
409,64.8741283052264
410,64.37525364091977
411,59.70766254594906
412,53.02540393999203
413,46.116056405812344
414,40.81191440752133
415,35.46739002397641
416,32.11110635927304
417,29.22679134538754
418,26.59739943674191
419,25.622944676190457
420,22.697257363110623
421,22.957476341038785
422,22.069247447758755
423,22.117773019581875
424,24.54804572543486
425,30.352527105122647
426,36.48829551866635
427,41.68207546403988
428,46.23333545854672
429,53.402982675343594
430,54.67050548723324
431,60.2719668977557
