timestep,value
336,74.56875797441586
337,74.92651554277523
338,73.88168140581234
339,70.81977268388852
340,64.99207492998227
341,57.220434152394375
342,47.58128544023617
343,39.87237354448422
344,35.26163192918881
345,29.882280790120205
346,28.88158985307797
347,28.98743005922421
348,29.030176603108487
349,27.78740473917111
350,26.668368064671597
351,26.8370258443652
352,27.143851005345425
353,29.785962068348965
354,36.28522106340512
355,44.023662530690274
356,51.01371952226742
357,56.25736232927426
358,61.38194461992367
359,64.18472477129086
360,66.75558277299984
361,67.10260578325375
362,65.66378208330258
363,63.28365131548031
364,59.46587177446469
365,53.262968026906094
366,45.40721317461117
367,45.4420280092059
368,41.37617679765805
369,39.41102977922543
370,37.55400940111264
371,37.31832977464779
372,34.2509126298724
373,33.86748214891537
374,29.726075612813077
375,26.005481206685147
376,22.64759977987393
377,19.995910131245694
378,22.0049466722308
379,21.450276576787076
380,24.566683138593874
381,26.05152496030911
382,28.696267568379483
383,30.716833555012784
384,31.78181024721249
385,31.085251294880948
386,34.263511621266446
387,34.41310497453793
388,33.06149479082211
389,32.08537193468197
390,29.16402574709042
391,27.68959184816464
392,25.140788041859707
393,23.462220632344327
394,23.47407957246884
395,23.956773661881527
396,21.501257383137784
397,21.739920341282925
398,20.21410604646786
399,16.56827732256039
400,15.855317079335293
401,17.750676118641934
402,22.458560907155118
403,26.85255809953793
404,34.18480964830502
405,39.320895158558926
406,41.998388253956875
407,46.18625827959164
408,48.99139972856625
409,50.548206292897305
410,51.40267559221371
411,49.095773660451016
412,45.77972789934262
413,38.645472490101895
414,35.238598787098965
415,29.55752464464291
416,25.42119833162411
417,21.73823972871884
418,22.65460749796017
419,20.687228881627163
420,21.09329959085568
421,19.560429536610684
422,17.655728780537686
423,19.294844114094815
424,20.757772409230313
425,25.761333309918484
426,28.066352569371304
427,35.15749450853451
428,44.624235116749844
429,53.84234996965512
430,56.139963113576016
431,61.23708530595883
