timestep,value
336,6.560619983766928
337,6.308061752413169
338,6.139723930452719
339,6.095932636354819
340,6.367916736696616
341,6.755545768831626
342,7.235817823503867
343,7.776438865755454
344,8.239184770677939
345,8.574297342394248
346,8.663450155352011
347,8.557813081835166
348,8.349746856783286
349,8.088916931246176
350,7.789792451952353
351,7.426792297457114
352,7.1847588158592135
353,6.901386413668051
354,6.583420429323569
355,6.353467617128745
356,6.194880161379233
357,5.928675804232016
358,5.679032001589194
359,5.363652381990805
360,5.135197792147055
361,4.853970203493491
362,4.71954980859603
363,4.745414886568442
364,5.036759529207602
365,5.499968204592124
366,6.022612724398032
367,6.613536510561362
368,7.090270910356894
369,7.390307817552939
370,7.443795356844321
371,7.386258516405478
372,7.09643927583541
373,6.761831436251059
374,6.435509357546225
375,6.1174136734947115
376,5.839080963228598
377,5.625475559328452
378,5.412032280062094
379,5.2188846207603365
380,5.055274639223471
381,4.899978313539878
382,4.728416595552817
383,4.503896865938559
384,4.271022472475424
385,4.032662544344321
386,3.8964683152183444
387,3.947013530825034
388,4.237452182863608
389,4.720232162569419
390,5.298952732180014
391,5.917161617372885
392,6.418452892397299
393,6.741112861727133
394,6.883910808657065
395,6.746205482576743
396,6.54132190713729
397,6.1646405793174655
398,5.827786121462241
399,5.547919426058188
400,5.318196926210776
401,5.11489311227645
402,4.935480270479575
403,4.739164028261557
404,4.509925518129721
405,4.371764812563315
406,4.191939983461753
407,3.950182590578452
408,3.7190085984214694
409,3.4408852196678072
410,3.251724872682944
411,3.2915469742759615
412,3.567713413332358
413,4.085854206179038
414,4.792000446413413
415,5.535596523378745
416,6.161218319033042
417,6.524431381319419
418,6.65060392389144
419,6.584025535677329
420,6.350228939150229
421,6.068932209108725
422,5.710026416872397
423,5.4176079369529635
424,5.146544609163657
425,4.8570376969322115
426,4.635371360872641
427,4.45355859765853
428,4.241574440096274
429,4.048005256746665
430,3.8283835984214694
431,3.6075378991111666
