timestep,value
336,6.793987889095114
337,6.955036764489218
338,7.142818163436331
339,7.386147690407217
340,7.699208078323784
341,8.078188586824403
342,8.49926483396497
343,8.926558519324557
344,9.31862067384272
345,9.628417498676509
346,9.79922241494862
347,9.776667544650424
348,9.545377252676136
349,9.153391939769897
350,8.690085074906222
351,8.242685816609717
352,7.867593586532306
353,7.5801339914795625
354,7.364258974203915
355,7.196236084115703
356,7.062918208929824
357,6.965898593306766
358,6.915756539654076
359,6.924093970622559
360,6.999232530988521
361,7.147043987792273
362,7.3735904709798
363,7.683885721616599
364,8.075110743649594
365,8.529775829045601
366,9.014042346272966
367,9.483314534580593
368,9.892395539127763
369,10.197831022110265
370,10.351620280414286
371,10.309588034767877
372,10.063645776916701
373,9.663012474533371
374,9.19336397126222
375,8.737503778258434
376,8.349944635058858
377,8.047379511291483
378,7.81604261522779
379,7.632779781641554
380,7.483663642484322
381,7.371353242538433
382,7.312667608819416
383,7.33092828662055
384,7.447748894531457
385,7.676764756045312
386,8.019039349785121
387,8.460791097830182
388,8.975399140722155
389,9.526097436880024
390,10.067930625380894
391,10.556153905247529
392,10.953855096546333
393,11.224758168065968
394,11.323663188979737
395,11.211863431724554
396,10.893687417961726
397,10.4313595872004
398,9.916622701122275
399,9.430839606733933
400,9.02261285572595
401,8.702128082338449
402,8.452281179497174
403,8.250157792807066
404,8.084326629782769
405,7.962630177838029
406,7.911348964699837
407,7.967093491526286
408,8.163102978846066
409,8.512611595151139
410,8.99807182708697
411,9.578929411249755
412,10.207861348077353
413,10.833969239591873
414,11.406970523422755
415,11.889956908146974
416,12.256540612790685
417,12.471498405870852
418,12.486159599705669
419,12.269088081922932
420,11.846261888949533
421,11.302313814996669
422,10.738086984292709
423,10.229553549403034
424,9.811830707350728
425,9.48218001809279
426,9.218085380361813
427,8.998774544788747
428,8.81992696986458
429,8.70093622482906
430,8.683847671797093
431,8.820797531933184
